data,market_factor,factor_size,factor_value,factor_momentum,factor_illiquidity,rf_return,factor_bab
2010-03-01,0.009482298554503962,-0.00557976851753327,-0.0053977542856761054,0.008460142126114633,-0.012685657695037312,0.00032779999999999994,0.004276220272385389
2010-03-02,0.006479437806224418,0.0032131263395451942,0.004309950015657052,0.0011288805813690177,-0.0036715088760506717,0.00032816999999999997,0.008936573427750068
2010-03-03,-0.00038612903545820834,-0.013557554318715304,6.189996272041622e-05,-0.009590442533284753,-0.007580075542661951,0.00032816999999999997,0.0040522938660914444
2010-03-04,-3.5099724242557064e-05,-0.005421945748391729,-0.00680729048612433,-0.0058787128589444255,-0.004189592243807225,0.00032779999999999994,-0.0001628544050878921
2010-03-05,0.010744532422155447,-0.010142275637057992,-0.005962741793524068,-0.010867855850355476,-0.01208680780823873,0.00032779999999999994,0.003579035273240139
2010-03-08,-0.0023842018994141103,0.004005733015119696,0.0005254937456657758,-0.0025106650486757098,0.0018359279448292177,0.00032854,-0.01371990215257582
2010-03-09,0.011663261274104933,-0.006077453560063122,0.005207855332813186,-0.0051180548405030364,-0.008033347436836072,0.00032854,0.020261859039424006
2010-03-10,0.005360744094102306,-0.0036891591729811372,-0.0011299639949275513,0.0015732855588099174,-0.0015481637945755997,0.00032854,0.0229244660337574
2010-03-11,-0.00024936738205313415,-0.00044615403593830294,0.00044575959083458915,0.003876149851000841,-8.327649220186799e-05,0.00032816999999999997,0.0029963795565134564
2010-03-12,-0.006910129544544809,-0.0010585168842945983,-0.0012357446025595999,0.0006566174780382669,-5.9406809436318014e-05,0.00032779999999999994,-0.02097594929852882
2010-03-15,-0.004697629368898392,-0.004314926297270193,0.002229084235776919,-0.00807846532806934,0.0002677522082614814,0.00032816999999999997,0.0061232407830768415
2010-03-16,0.010771455829185001,0.0019561670387570704,-0.0009666695163829085,0.0008863241046356274,-0.005923800297733218,0.00032779999999999994,0.005409004390708908
2010-03-17,-0.001446924271121015,-0.006745182095378538,0.0071909042422517375,-0.005228354456153847,-0.002284584633812162,0.00032816999999999997,0.014572972830498894
2010-03-18,-0.0007738100266606335,-9.314633962948806e-05,4.808696400694385e-05,0.0015187780568483556,-0.0023174622301122363,0.00032779999999999994,-0.0021952476515269413
2010-03-19,-0.014356623810158863,0.014434748428741779,-0.0006426615872505764,-0.004549689153440533,0.004796258058733208,0.00032816999999999997,-0.010718238657981232
