data,market_factor,factor_size,factor_value,factor_momentum,factor_illiquidity,factor_bab
2012-02-01,0.02331396950786394,0.009080002937570567,0.0024732641946647177,-0.025465408995415263,-0.002284777782146828,-0.0008303499384308619
2012-02-02,1.3582484860639153e-05,0.008247193461516297,0.0011341063396267254,0.016501246541723642,0.0032027717274331993,0.014695759091342533
2012-02-03,0.009270669526728932,0.010273334422755048,0.006935243235274835,-0.02408604121970447,-0.005325847709682298,-0.01641068314620221
2012-02-06,-0.0002970994479966871,-0.005759950804158795,-0.000437982032222603,-0.0036808471974637278,0.004546814116972331,0.005958429154918379
2012-02-07,0.010251318257363171,0.007554966633160312,-0.01635892287872015,-0.0007862975211238472,-0.004520820690381834,0.023754185872485924
2012-02-08,-0.001693411025683768,0.008667727510984394,0.004971804915025718,-0.0034300815408051986,9.704771176129623e-05,-0.005388212882104837
2012-02-09,-0.0049614139554313395,-0.005064477739068721,0.0003500003466907903,0.003968482895284037,-0.01549123253054945,0.0037046515948996562
2012-02-10,-0.023782965405157976,0.003208478855001737,-0.010400990837945823,0.01825971263859068,0.013755670235511525,0.015104827000276615
2012-02-13,0.02608161078081791,0.016101424789118773,0.01467735118888476,-0.023594236712395862,-0.004443757395799164,-0.016771228387101045
2012-02-14,-0.010329218908830764,-0.005430417657228362,0.0007737942692566668,0.01184698498239222,0.014077530719174364,0.0023983918538680693
2012-02-15,0.004685216763738119,0.020670092475876492,0.009684436724342368,-0.010646159997840373,0.02509130714452338,0.020211154429316543
2012-02-16,0.011436977973320293,0.000728544615112306,0.0043112809248968265,0.012907013198446393,-0.00716285188125133,0.019109134696699375
2012-02-17,0.0005475713306420789,-0.0063960047331774045,0.00540724293167423,0.009277044206275434,0.00404188865480475,0.0021178924555341656
2012-02-22,-0.002065401178496408,-0.008358454200734305,-0.010370224924656835,0.004474224831566509,-4.256457762969834e-05,0.008342940340815338
2012-02-23,-0.004519345822187272,-0.005316067049485854,-0.011006714381268212,0.007215854977807643,-0.00387706672639046,-0.014336203991550124
2012-02-24,0.0014793012999286342,-0.022052315097828304,-0.012759926900138274,0.007881100391131601,0.0007991348223575778,0.017106626294799785
2012-02-27,-0.011020014123320479,0.0026329985017499308,0.013436218847305406,0.013271616882963697,-0.00936314118410588,0.0026160519954272375
2012-02-28,0.010601641612176325,0.02446344375205542,0.014677566371960826,-0.006892788597103228,0.009400315311427876,0.016445748934964585
2012-02-29,-0.0026167109851724215,-0.006875191364443478,-0.003935214325029968,0.009671999659589406,-0.003727681484351014,0.012633948022635516
2012-03-01,0.014776618130403808,-0.004086745123392244,-0.0024288348378797286,0.0037973912052323977,-0.01537901403742544,0.026056234495292117
2012-03-02,0.014161278017332924,0.010739826324292878,0.004266380710435544,-0.011647189302423179,-0.009187678491946127,-0.006333529280033888
2012-03-05,-0.012441185324205893,-0.0010052608571985144,-0.0006072243196600657,0.02479193534902286,0.005194726603631877,0.027010995577296023
2012-03-06,-0.028014084540947358,-0.009525412088296978,-0.015821643641604877,0.025691408491322194,-0.004996060528017699,0.021676395407077324
2012-03-07,0.01346640769911222,0.016073882038616566,0.014968077451800108,-0.016448252740822178,0.007438312244496037,0.0006680722302684003
2012-03-08,0.013150585908870596,0.015934476536412653,0.007432398024479786,-0.014968490711273505,0.020121031536965046,-0.007944406819469106
2012-03-09,-0.0034244686506845106,-0.019086393526656753,8.579195627733682e-05,0.024919706995395308,-0.0010924046195461652,0.026305554533677365
2012-03-12,-0.005141873595490486,0.002640686915693219,0.009208387893736153,0.005136242983638489,-0.013689878884187415,-0.0013722920034847418
2012-03-13,0.02991963033261032,0.015438961559081033,0.012234738003454995,-0.035069623027780245,0.002905272834869105,-0.007186706814313118
2012-03-14,-0.0023614896871071017,-0.011571474618099889,-0.009772126850546209,0.007070363717952101,-0.007967560506104096,0.006406757229078491
2012-03-15,-0.0078008501139809755,-0.010287718765022269,-0.01392090536338271,0.004714773541832502,0.0097737403899886,-0.010162144827252362
2012-03-16,-0.0013192637553322004,-0.02222251769691838,-0.00887236351612504,0.0059663941462562795,0.0023288428551442586,-0.014334783311788654
2012-03-19,0.0003201488635424474,-0.0076808368996409,-0.004700350792954083,0.010956638226160765,-0.0099333872622037,0.007996142554060939
2012-03-20,-0.006782040165362467,0.007131903170245188,-0.0063711868373319686,0.006798425047868104,-0.005615747359585911,0.009238252181446563
2012-03-21,-0.006823556082918546,-0.005874081175457485,-0.000539281838241451,0.013557402737322782,0.001821324240688954,0.015476893065229013
2012-03-22,-0.015794717810349943,-0.008268800788776134,-0.01785034675938174,0.013870138506494694,-0.004861780652416149,0.01594497087549424
2012-03-23,-0.0006039876654310901,0.010089197583456347,0.0038897409634319202,-0.005209811144170138,0.009261163486018586,-0.002302481264019822
2012-03-26,0.012890023246824311,0.002798902909875972,0.010463679026652947,0.009065477484871087,0.0026595165700121024,0.03377722370345725
2012-03-27,-0.010062317355887473,-0.0014023088186853605,-0.0026106710136579864,0.021340822301119854,-0.007526145658286345,0.017740638715263348
